package,node_packs_strict,distinct_strict_specs,conflict_pairs,precise_conflicts,per_spec_counts
mflux,1,1,0,0,==0.4.1:1
aliyun-python-sdk-kms,1,1,0,0,==2.13.10:1
oss2,1,1,0,0,==2.13.1:1
lion-pytorch,1,1,0,0,==0.0.6:1
came_pytorch,1,1,0,0,==0.1.3:1
schedulefree,1,1,0,0,==1.4:1
easygui,1,1,0,0,==0.98.3:1
voluptuous,1,1,0,0,==0.13.1:1
imagesize,1,1,0,0,==1.4.1:1
replicate,1,1,0,0,==1.0.4:1
mecab-python3,1,1,0,0,==1.0.6:1
unidic-lite,1,1,0,0,==1.0.8:1
deepseek,1,1,0,0,==0.0.1.dev0:1
litellm,1,1,0,0,==1.56.6:1
tiktoken,1,1,0,0,==0.8.0:1
